Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser(),2,1.32,0,380.39,0.16,SmsFeedback_Take4.dll
Resources.Global.get_btnNotificationSolve(),2,0,0,0.16,0.15,SmsFeedback_Take4.dll
System.Collections.Generic.IEnumerator`1.get_Current(),"1,484",0,0,0,0,mscorlib.dll
System.Web.HttpResponseBase.set_BufferOutput(bool),2,0,0,0.14,0.14,System.Web.dll
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0,0,0.14,0.14,System.Web.Mvc.dll
"System.Linq.Expressions.Expression.GreaterThanOrEqual(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",2,0,0,0.14,0.14,System.Core.dll
SmsFeedback_Take4.Controllers.TagsController.GetSpecialTags(),1,1.22,0,698.77,0.28,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeNoOfOutgoingSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,2.41,0,461.72,0.09,SmsFeedback_Take4.dll
ASP.views_shared_site_master.FrameworkInitialize(),2,0.01,0,3.56,0.14,App_Web_e03r53wt.dll
"System.Linq.Enumerable.Range(int32,int32)",13,0,0,0.02,0.02,System.Core.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeNoOfIncomingSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,4.68,0,896.84,0.09,SmsFeedback_Take4.dll
"System.Linq.Enumerable.OrderBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",1,0,0,0.27,0.27,System.Core.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClasseb.<GetNoOfConversationsByTags>b__e9(class SmsFeedback_EFModels.Message),544,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass3e.<GetIncomingOutgoingSmsChartSource>b__17(class SmsFeedback_EFModels.Message),272,0,0,0,0,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.32,0,379.8,0.13,SmsFeedback_Take4.dll
ASP.views_reports_index_aspx.__BuildControlContent5(class System.Web.UI.Control),1,0,0,0.58,0.27,App_Web_jivbjkeg.dll
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",5,0,0,0.05,0.05,System.Web.Mvc.dll
System.Collections.Generic.Dictionary`2.GetEnumerator(),19,0,0,0.01,0.01,mscorlib.dll
"System.String.op_Equality(string,string)","2,204",0,0,0,0,mscorlib.dll
System.Web.UI.Page.get_Server(),1,0,0,0.26,0.26,System.Web.dll
System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle),6,0,0,0.04,0.04,mscorlib.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass3e.<GetIncomingOutgoingSmsChartSource>b__1a(class SmsFeedback_EFModels.Message),272,0,0,0,0,SmsFeedback_Take4.dll
System.Web.UI.Page.set_Title(string),1,0,0,0.25,0.25,System.Web.dll
System.Web.UI.Page.set_MasterPageFile(string),1,0,0,0.25,0.25,System.Web.dll
System.Int32.ToString(),905,0,0,0,0,mscorlib.dll
System.Web.Mvc.ViewMasterPage.get_Url(),58,0,0,0,0,System.Web.Mvc.dll
"System.Web.Routing.RouteValueDictionary..ctor(class System.Collections.Generic.IDictionary`2<string,object>)",12,0,0,0.02,0.02,System.Web.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetNoOfConversationsByTags(valuetype System.DateTime,valuetype System.DateTime,string,string)",2,5.59,0,"1,606.23",0.12,SmsFeedback_Take4.dll
System.ComponentModel.DataAnnotations.DisplayAttribute..ctor(),3,0,0,0.08,0.08,System.ComponentModel.DataAnnotations.dll
Resources.Global.get_TitleLogOn(),1,0.15,0,88.29,0.23,SmsFeedback_Take4.dll
System.String.Equals(string),"1,706",0,0,0,0,mscorlib.dll
System.ComponentModel.DataAnnotations.DisplayAttribute.set_Name(string),3,0,0,0.08,0.08,System.ComponentModel.DataAnnotations.dll
SmsFeedback_Take4.Models.AggregateSmsRepository.GetInstance(string),7,0,0,0.2,0.03,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgNoOfSmsPerClientInfo(string,string,string,string)",1,2.25,0,"1,290.61",0.22,SmsFeedback_Take4.dll
System.ComponentModel.DataAnnotations.DisplayAttribute.set_ResourceType(class System.Type),3,0,0,0.07,0.07,System.ComponentModel.DataAnnotations.dll
ASP.views_account_logon_aspx.FrameworkInitialize(),1,0.02,0,12.47,0.22,App_Web_q5vesloz.dll
System.Web.Mvc.UrlHelper.Content(string),30,0,0,0.01,0.01,System.Web.Mvc.dll
System.Web.Mvc.Controller.get_HttpContext(),88,0,0,0,0,System.Web.Mvc.dll
"System.Web.UI.Page.AddContentTemplate(string,class System.Web.UI.ITemplate)",5,0,0,0.04,0.04,System.Web.dll
System.Web.Mvc.Controller.get_User(),44,0,0,0,0,System.Web.Mvc.dll
Resources.Global.get_lblPassword(),1,0,0,0.22,0.21,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.Parameter(class System.Type,string)",123,0,0,0,0,System.Core.dll
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,1.21,0,697.25,0.21,SmsFeedback_Take4.dll
SmsFeedback_EFModels.WorkingPoint.get_TelNumber(),"2,176",0,0,0,0,SmsFeedback_EFModels.dll
System.Web.UI.Control.set_TemplateControl(class System.Web.UI.TemplateControl),1,0,0,0.21,0.21,System.Web.dll
"SmsFeedback_Take4.Models.Helpers.ChartValue..ctor(int32,string,bool)",416,0,0,0,0,SmsFeedback_Take4.dll
System.DateTime.get_Now(),44,0,0,0,0,mscorlib.dll
System.Web.Mvc.ViewPage`1.get_ViewData(),3,0,0,0.07,0.07,System.Web.Mvc.dll
System.Web.Mvc.MvcHtmlString..ctor(string),82,0,0,0,0,System.Web.Mvc.dll
System.Web.UI.IParserAccessor.AddParsedSubObject(object),26,0,0,0.01,0.01,System.Web.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeTotalNoOfSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,4.62,0,885.67,0.07,SmsFeedback_Take4.dll
"System.Web.Mvc.UrlHelper.Action(string,string,class System.Web.Routing.RouteValueDictionary)",2,0,0,0.1,0.1,System.Web.Mvc.dll
SmsFeedback_EFModels.WorkingPoint.get_ShortID(),"2,176",0,0,0,0,SmsFeedback_EFModels.dll
SmsFeedback_EFModels.Message.get_To(),"2,176",0,0,0,0,SmsFeedback_EFModels.dll
System.DateTime.ToShortDateString(),2,0,0,0.1,0.1,mscorlib.dll
"SmsFeedback_Take4.Models.AggregateSmsRepository.NrOfUnreadConversations(string,class SmsFeedback_EFModels.smsfeedbackEntities)",3,0.2,0,38.58,0.06,SmsFeedback_Take4.dll
System.Object.ToString(),158,0,0,0,0,mscorlib.dll
Resources.Global.get_btnNotificationDismiss(),2,0,0,0.1,0.09,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.LessThanOrEqual(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",2,0,0,0.09,0.09,System.Core.dll
"System.Linq.Expressions.Expression.MemberInit(class System.Linq.Expressions.NewExpression,class System.Linq.Expressions.MemberBinding[])",9,0,0,0.02,0.02,System.Core.dll
System.Web.Mvc.ModelStateDictionary.get_IsValid(),1,0,0,0.18,0.18,System.Web.Mvc.dll
System.Web.HttpUtility.HtmlEncode(object),17,0,0,0.01,0.01,System.Web.dll
System.Web.HttpCookieCollection.get_Item(string),35,0,0,0,0,System.Web.dll
Resources.Global.get_tabSettings(),2,0,0,0.09,0.09,SmsFeedback_Take4.dll
System.Collections.Generic.List`1.Add(!0),"1,475",0,0,0,0,mscorlib.dll
SmsFeedback_Take4.Controllers.BaseController.ExecuteCore(),44,93.21,0,"1,217.12",0,SmsFeedback_Take4.dll
"VirtCall:<>f__AnonymousTypec`3..ctor(!0,!1,!2)",2,0,0,0.08,0.08,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassb2.<GetPosAndNegTagEvolution>b__97(class SmsFeedback_EFModels.Message),255,0,0,0,0,SmsFeedback_Take4.dll
"VirtCall:<>f__AnonymousTypeb`2..ctor(!0,!1)",1,0,0,0.16,0.16,SmsFeedback_Take4.dll
System.Text.RegularExpressions.Regex..ctor(string),2,0,0,0.08,0.08,System.dll
"System.String.Concat(object,object,object)",418,0,0,0,0,mscorlib.dll
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.UpdatedResourceLink(class System.Web.Mvc.UrlHelper,string)",66,0.02,0,0.16,0,SmsFeedback_Take4.dll
System.Web.Mvc.ViewMasterPage..ctor(),2,0,0,0.08,0.08,System.Web.Mvc.dll
Resources.Global.get_feedbackSendUsFeedback(),2,0,0,0.09,0.08,SmsFeedback_Take4.dll
SmsFeedback_EFModels.Message.get_From(),"2,176",0,0,0,0,SmsFeedback_EFModels.dll
"System.Linq.Enumerable.Union(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Collections.Generic.IEnumerable`1<!!0>)",2,0,0,0.08,0.08,System.Core.dll
get_Key(),"1,408",0,0,0,0,SmsFeedback_Take4.dll
System.Web.UI.HtmlControls.HtmlLink.set_Href(string),2,0,0,0.08,0.08,System.Web.dll
Resources.Global.get_RepExportToExcel(),1,0,0,0.16,0.15,SmsFeedback_Take4.dll
get_Value(),"1,216",0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.KeyAndCount.get_count(),4,0,0,0.04,0.04,SmsFeedback_Take4.dll
System.String.ToLower(),24,0,0,0.01,0.01,mscorlib.dll
SmsFeedback_Take4.Models.EFSmsRepository.<>c__DisplayClass17.<GetSpecialTags>b__11(class SmsFeedback_EFModels.Tag),25,0.93,0,21.41,0.01,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Utilities.SwitchLanguageHelper.LanguageUrl(class System.Web.Mvc.HtmlHelper,string,string,bool)",12,0.03,0,1.35,0.01,SmsFeedback_Take4.dll
SmsFeedback_Take4.Models.Helpers.ChartValue.get_value(),914,0,0,0,0,SmsFeedback_Take4.dll
"System.String.Format(string,object[])",1,0,0,0.14,0.14,mscorlib.dll
Resources.Global.get_lblUserName(),1,0,0,0.15,0.14,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.Helpers.ReportResourceOptions..ctor(class System.Collections.Generic.List`1<string>,string)",150,0,0,0,0,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgNoOfSmsPerDayInfo(string,string,string,string,string)",1,2.2,0,"1,262.57",0.14,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass6a.<GetNewVsReturningClientsChartSource>b__44(class SmsFeedback_EFModels.Conversation),52,2.06,0,22.75,0,SmsFeedback_Take4.dll
System.Linq.Enumerable.First(class System.Collections.Generic.IEnumerable`1<!!0>),9,0,0,0.02,0.02,System.Core.dll
System.Collections.Generic.List`1.Add(!0),"1,218",0,0,0,0,mscorlib.dll
"System.Linq.Enumerable.SelectMany(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,class System.Collections.Generic.IEnumerable`1<!!1>>)",1,0,0,0.14,0.14,System.Core.dll
"Microsoft.VisualStudio.Web.PageInspector.Runtime.WebForms.TraceData..ctor(string,int32,int32,bool)",60,0,0,0,0,Microsoft.VisualStudio.Web.PageInspector.Runtime.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass14.<GetTotalNoOfSmsChartSource>b__1(class SmsFeedback_EFModels.Message),272,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_EFModels.smsfeedbackEntities.get_Users(),38,0,0,0,0,SmsFeedback_EFModels.dll
System.Security.Principal.IPrincipal.get_Identity(),44,0,0,0,0,mscorlib.dll
"System.Web.Mvc.ViewDataDictionary.set_Item(string,object)",3,0,0,0.04,0.04,System.Web.Mvc.dll
Resources.Global.get_TitleLogOn(),1,0.15,0,88.42,0.13,SmsFeedback_Take4.dll
ASP.views_shared_logonusercontrol_ascx.FrameworkInitialize(),2,0,0,0.07,0.07,App_Web_e03r53wt.dll
Resources.Global.get_tooltipWpImg(),1,0,0,0.14,0.13,SmsFeedback_Take4.dll
Resources.Global.get_accountAuthenticate(),1,0,0,0.14,0.13,SmsFeedback_Take4.dll
System.Collections.Generic.Dictionary`2.ContainsKey(!0),608,0,0,0,0,mscorlib.dll
System.Collections.Generic.IEnumerable`1.GetEnumerator(),29,0,0,0,0,mscorlib.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetNoOfReturningClientsInfo(string,string,string,string)",1,2.06,0,"1,184.02",0.12,SmsFeedback_Take4.dll
System.DateTime.get_Day(),832,0,0,0,0,mscorlib.dll
Resources.Global.get_tabReports(),2,0,0,0.07,0.06,SmsFeedback_Take4.dll
System.Web.Mvc.UrlHelper.Content(string),19,0,0,0.01,0.01,System.Web.Mvc.dll
Resources.Global.get_messagesPageTitle(),1,0,0,0.14,0.12,SmsFeedback_Take4.dll
Resources.Global.get_loginUnsuccessfulSummary(),1,0,0,0.15,0.12,SmsFeedback_Take4.dll
Resources.Global.get_LogOnButtonMessage(),1,0,0,0.13,0.12,SmsFeedback_Take4.dll
System.Collections.Generic.IEnumerable`1.GetEnumerator(),56,0,0,0,0,mscorlib.dll
"VirtCall:<>f__AnonymousType0`2..ctor(!0,!1)",2,0,0,0.06,0.06,App_Web_q5vesloz.dll
System.Collections.Generic.EqualityComparer`1.get_Default(),8,0,0,0.01,0.01,mscorlib.dll
Resources.Global.get_logOnLogOffMsg(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
Resources.Global.get_tooltipSendNegativeFeedback(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",198,0,0,0,0,System.Web.dll
Resources.Global.get_welcomeMessage(),2,0,0,0.07,0.06,SmsFeedback_Take4.dll
System.DateTime.get_Month(),832,0,0,0,0,mscorlib.dll
Resources.Global.get_tooltipNrOfConvsWithUnreadMsgs(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
System.Object..ctor(),"1,513",0,0,0,0,mscorlib.dll
Resources.Global.get_tooltipIncludeSupportFilter(),1,0,0,0.12,0.12,SmsFeedback_Take4.dll
Resources.Global.get_tooltipSendPositiveFeedback(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
Resources.Global.get_loadMoreConversations(),1,0,0,0.12,0.12,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassd4.<GetAvgNoOfTagsPerConversationInfo>b__d0(class SmsFeedback_EFModels.Message),263,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Utilities.SwitchLanguageHelper.Language.get_Url(),12,0,0,0.01,0.01,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClasscc.<GetPosNegTransitions>b__b4(class SmsFeedback_EFModels.Message),255,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassde.<GetNoOfReturningClientsInfo>b__db(class SmsFeedback_EFModels.Message),263,0,0,0,0,SmsFeedback_Take4.dll
Resources.Global.get_tabHelp(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassb2.<GetPosAndNegTagEvolution>b__92(class SmsFeedback_EFModels.Message),255,0,0,0,0,SmsFeedback_Take4.dll
System.Web.Mvc.Controller.get_Response(),2,0,0,0.06,0.06,System.Web.Mvc.dll
"System.Web.Routing.RouteValueDictionary.set_Item(string,object)",47,0,0,0,0,System.Web.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass90.<GetPosAndNegTagActivity>b__78(class SmsFeedback_EFModels.Message),255,0,0,0,0,SmsFeedback_Take4.dll
System.TimeSpan.get_TotalDays(),2,0,0,0.06,0.06,mscorlib.dll
VirtCall:<>f__AnonymousTypee`1..ctor(!0),1,0,0,0.11,0.11,SmsFeedback_Take4.dll
Resources.Global.get_tooltipDeleteConversation(),1,0,0,0.12,0.11,SmsFeedback_Take4.dll
Resources.Global.get_tooltipMarkAsFavouriteImg(),2,0,0,0.06,0.06,SmsFeedback_Take4.dll
System.Web.Mvc.AuthorizeAttribute..ctor(),7,0,0,0.02,0.02,System.Web.Mvc.dll
Resources.Global.get_shareOnFacebook(),1,0,0,0.12,0.11,SmsFeedback_Take4.dll
Resources.Global.get_tabMessages(),2,0,0,0.06,0.05,SmsFeedback_Take4.dll
System.Web.UI.MasterPage.get_ContentPlaceHolders(),12,0,0,0.01,0.01,System.Web.dll
Resources.Global.get_reportsPageTitle(),1,0,0,0.12,0.11,SmsFeedback_Take4.dll
Resources.Global.get_RepDay(),1,0,0,0.11,0.11,SmsFeedback_Take4.dll
SmsFeedback_Take4.Models.Helpers.ChartValue.get_description(),384,0,0,0,0,SmsFeedback_Take4.dll
get_Current(),608,0,0,0,0,SmsFeedback_Take4.dll
log4net.ILog.Debug(object),1,0,0,0.11,0.11,log4net.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass6a.<>c__DisplayClass6e.<GetNewVsReturningClientsChartSource>b__45(class SmsFeedback_EFModels.Message),263,0,0,0,0,SmsFeedback_Take4.dll
System.Web.Mvc.ViewMasterPage.get_Html(),22,0,0,0,0,System.Web.Mvc.dll
"System.Collections.Generic.Dictionary`2.Add(!0,!1)",25,0,0,0,0,mscorlib.dll
Resources.Global.get_supportLabel(),1,0,0,0.11,0.11,SmsFeedback_Take4.dll
Resources.Global.get_shareOnLinkedinTitle(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
System.Text.RegularExpressions.MatchCollection.get_Item(int32),65,0,0,0,0,System.dll
Resources.Global.get_errorCannotSendMessage(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
Resources.Global.get_lblNoConversationSelected(),2,0,0,0.06,0.05,SmsFeedback_Take4.dll
System.Web.Mvc.ViewDataDictionary.get_Item(string),3,0,0,0.03,0.03,System.Web.Mvc.dll
Resources.Global.get_sendButton(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",168,0,0,0,0,System.Web.dll
"SmsFeedback_Take4.Controllers.ConversationsController.ConversationsList(bool,string[],string[],string,string,valuetype System.Nullable`1<bool>,int32,int32,int32,bool)",1,0.46,0,263.26,0.1,SmsFeedback_Take4.dll
Resources.Global.get_RepWeek(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
Resources.Global.get_tooltipCheckMessageReceived(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.Helpers.RepDataRowCell..ctor(object,string)",618,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassf7.<ComputeTotalNoOfClients>b__f1(class SmsFeedback_EFModels.Conversation),336,0,0,0,0,SmsFeedback_Take4.dll
Resources.Global.get_deleteMessage(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
Resources.Global.get_starredLabel(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
Resources.Global.get_tooltipIncludeStarredInFilter(),1,0,0,0.11,0.1,SmsFeedback_Take4.dll
Resources.Global.get_thumbsUpTooltip(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.Helpers.ReportsMenuItem..ctor(int32,string,bool,int32,string,string)",7,0,0,0.01,0.01,SmsFeedback_Take4.dll
System.Threading.Thread.set_CurrentUICulture(class System.Globalization.CultureInfo),44,0,0,0,0,mscorlib.dll
Resources.Global.get_readLabel(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
Resources.Global.get_messagesRemoveTagPlaceHolder(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
Resources.Global.get_tooltipCheckMessageSent(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
Resources.Global.get_RepMonth(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
SmsFeedback_Take4.Models.SmsMessage.get_TimeReceived(),112,0,0,0,0,SmsFeedback_Take4.dll
System.ComponentModel.DisplayNameAttribute..ctor(),3,0,0,0.03,0.03,System.dll
Resources.Global.get_thumbsDownTooltip(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
System.Web.UI.UserControl.get_Request(),2,0,0,0.05,0.05,System.Web.dll
Resources.Global.get_tooltipIncludeUnreadInFilter(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
"System.Web.UI.Control.SetTraceData(object,object)",1,0,0,0.1,0.1,System.Web.dll
"System.Web.UI.Control.BeginRenderTracing(class System.IO.TextWriter,object)",198,0,0,0,0,System.Web.dll
Resources.Global.get_tooltipSendEmailImg(),1,0,0,0.1,0.1,SmsFeedback_Take4.dll
"System.Web.UI.Control.BeginRenderTracing(class System.IO.TextWriter,object)",168,0,0,0,0,System.Web.dll
Resources.Global.get_shareOnTwitter(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_tooltipReplyBtn(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_addATagLabel(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
"System.Resources.ResourceManager..ctor(string,class System.Reflection.Assembly)",1,0,0,0.09,0.09,mscorlib.dll
"System.Collections.Generic.Dictionary`2.Add(!0,!1)",192,0,0,0,0,mscorlib.dll
Resources.Global.get_tagsLabel(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_tooltipIncludeTagsInFilter(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_errorMessageNotSentInsufficientCredits(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_shareOnLinkedin(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
Resources.Global.get_messagesAddTagPlaceHolder(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.HomeController.Index(),1,0,0,0.24,0.09,SmsFeedback_Take4.dll
System.Collections.Generic.Dictionary`2..ctor(),6,0,0,0.02,0.02,mscorlib.dll
"SmsFeedback_Take4.Controllers.KeyAndCount..ctor(string,int32)",2,0,0,0.05,0.05,SmsFeedback_Take4.dll
System.IO.TextWriter.Write(string),162,0,0,0,0,mscorlib.dll
Resources.Global.get_warningMessageSentSpendingLimitReached(),1,0,0,0.1,0.09,SmsFeedback_Take4.dll
System.Web.UI.CompiledTemplateBuilder..ctor(class System.Web.UI.BuildTemplateMethod),5,0,0,0.02,0.02,System.Web.dll
Resources.Global.get_confirmDeleteMessage(),1,0,0,0.09,0.09,SmsFeedback_Take4.dll
Resources.Global.get_filteringAddFilterTag(),1,0,0,0.09,0.09,SmsFeedback_Take4.dll
SmsFeedback_EFModels.smsfeedbackEntities.get_WorkingPoints(),2,0,0,0.04,0.04,SmsFeedback_EFModels.dll
System.IO.TextWriter.Write(string),184,0,0,0,0,mscorlib.dll
Resources.Global.get_confirmDeleteConversation(),1,0,0,0.09,0.09,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.InitializeInterval(valuetype System.DateTime,valuetype System.DateTime,string)",13,0.02,0,0.84,0.01,SmsFeedback_Take4.dll
Resources.Global.get_errorMessageNotSentReasonUnknown(),1,0,0,0.09,0.09,SmsFeedback_Take4.dll
System.Web.UI.HtmlControls.HtmlTitle..ctor(),1,0,0,0.09,0.09,System.Web.dll
SmsFeedback_Take4.Models.Helpers.ChartValue.get_changed(),64,0,0,0,0,SmsFeedback_Take4.dll
System.Web.HttpCookie.set_Expires(valuetype System.DateTime),44,0,0,0,0,System.Web.dll
VirtCall:<>f__AnonymousTyped`1..ctor(!0),1,0,0,0.08,0.08,SmsFeedback_Take4.dll
SmsFeedback_EFModels.Conversation.get_StartTime(),652,0,0,0,0,SmsFeedback_EFModels.dll
VirtCall:<>f__AnonymousTypea`1..ctor(!0),1,0,0,0.08,0.08,SmsFeedback_Take4.dll
System.Web.Mvc.UrlHelper.Content(string),9,0,0,0.01,0.01,System.Web.Mvc.dll
VirtCall:<>f__AnonymousType3`1..ctor(!0),2,0,0,0.04,0.04,SmsFeedback_Take4.dll
Resources.Global.get_ResourceManager(),306,0,0,0,0,SmsFeedback_Take4.dll
SmsFeedback_Take4.Utilities.ViewExtensionMethods.IsReleaseBuild(class System.Web.Mvc.HtmlHelper),1,0,0,0.08,0.08,SmsFeedback_Take4.dll
"Microsoft.VisualStudio.Web.PageInspector.Runtime.WebForms.TraceData..ctor(int32,int32,bool)",4,0,0,0.02,0.02,Microsoft.VisualStudio.Web.PageInspector.Runtime.dll
System.Web.HttpRequestBase.get_Cookies(),35,0,0,0,0,System.Web.dll
System.Web.UI.WebControls.ContentPlaceHolder..ctor(),12,0,0,0.01,0.01,System.Web.dll
SmsFeedback_Take4.Models.EFSmsRepository.<>c__DisplayClass17.<>c__DisplayClass19.<GetSpecialTags>b__12(class SmsFeedback_EFModels.TagTagType),2,0.09,0,26.69,0.04,SmsFeedback_Take4.dll
System.Web.Mvc.EmptyResult..ctor(),2,0,0,0.04,0.04,System.Web.Mvc.dll
System.Collections.Generic.List`1..ctor(),385,0,0,0,0,mscorlib.dll
System.Collections.Generic.Dictionary`2.get_Item(!0),608,0,0,0,0,mscorlib.dll
"ASP.views_account_logon_aspx.__Render__control1(class System.Web.UI.HtmlTextWriter,class System.Web.UI.Control)",1,0.44,0,254.12,0.07,App_Web_q5vesloz.dll
VirtCall:<>f__AnonymousType0`2.get_date(),18,0,0,0,0,SmsFeedback_Take4.dll
System.Web.Mvc.ViewPage`1.get_Html(),13,0,0,0.01,0.01,System.Web.Mvc.dll
System.Security.Principal.IIdentity.get_Name(),44,0,0,0,0,mscorlib.dll
System.Web.UI.Page.get_User(),2,0,0,0.03,0.03,System.Web.dll
SmsFeedback_Take4.Models.ConvTag.set_TagType(string),2,0,0,0.03,0.03,SmsFeedback_Take4.dll
